Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Critical,Deaths 1M pop,Total Tests,Population,Continent,% Deaths COVID/Population,Date vaccinated update,Fully vaccinated,% Fully vaccinated,Year_GDP_update,GDP_Annual (M),Temperature_1961_1990
BOSNIA AND HERZEGOVINA,255054,,11654,,192218,,51182,,3582,1311066,3253527,Europe,0.36,02/11/2021,682065,0.21,2020,17507,09.85
KENYA,253409,,5282,,246957,,1170,26,95,2714255,55350530,Africa,0.01,02/11/2021,1632996,0.03,2020,89675,24.75
QATAR,239646,+138,611,,237739,+80,1296,9,218,2847964,2807805,Asia,0.02,02/11/2021,2218292,0.83,2020,127342,27.15
LATVIA,224513,+2718,3357,+45,185803,+1830,35353,189,1806,5012434,1858300,Europe,0.18,02/11/2021,1016660,0.54,2020,29511,05.60
NIGERIA,212150,,2899,,203524,,5727,11,14,3298966,212949088,Africa,0.0,02/11/2021,3079239,0.01,2020,375961,26.80
NORWAY,210241,,902,,88952,,120387,38,165,8163052,5477868,Europe,0.02,02/11/2021,3741865,0.69,2020,318336,01.50
ZAMBIA,209781,+21,3661,,205987,+3,133,10,192,2611463,19069835,Africa,0.02,02/11/2021,535918,0.03,2020,16914,21.40
ALGERIA,206754,+105,5931,+4,141889,+78,58934,9,132,230861,44907419,Africa,0.01,02/11/2021,4815027,0.11,2020,127091,22.50
SINGAPORE,204340,,430,,173168,,30742,64,73,20982378,5911804,Asia,0.01,02/11/2021,4703751,0.83,2020,297990,26.45
NORTH MACEDONIA,203298,,7159,,189264,,6875,,3436,1390369,2083260,Europe,0.34,02/11/2021,775825,0.38,2020,10766,09.80
ESTONIA,199251,+2306,1563,+13,170095,+2185,27593,51,1177,2165189,1327728,Europe,0.12,02/11/2021,761153,0.57,2020,26835,05.10
BOTSWANA,187281,,2407,,183644,,1230,1,997,1824059,2414952,Africa,0.1,02/11/2021,267573,0.11,2020,13189,21.50
