,ID,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Critical,Tot Cases 1M pop,Deaths 1M pop,Total Tests,Tests 1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
67,60,Myanmar,481.230,+1.382,18.188 ,+26,434.080,+1.623,28.962,,8.770,331,4.538.563,82.707,54.875.217 ,Asia,114,3.017,12,25,0.5,528
68,61,Panama,469.190,,7.271 ,,459.210,,2.709,49,106.602,1.652,3.946.061,896.562,4.401.324 ,North America,9,605,1,,,615
69,62,Paraguay,460.218,,16.207 ,,443.817,,194,11,63.529,2.237,1.858.923,256.607,7.244.247 ,South America,16,447,4,,,27
70,63,Slovakia,427.480,+1.509,12.752 ,+17,396.886,+1.008,17.842,166,78.250,2.334,3.708.301,678.801,5.463.019 ,Europe,13,428,1,276,3,3.266
71,64,Croatia,419.035,+1.007,8.802 ,+24,402.165,+1.200,8.068,140,102.883,2.161,2.924.958,718.147,4.072.923 ,Europe,10,463,1,247,6,1.981
72,65,Palestine,414.373,,4.253 ,,393.538,,16.582,68,78.893,810,2.538.939,483.390,5.252.357 ,Asia,13,1.235,2,,,3.157
73,66,Kuwait,412.121,,2.455 ,,409.046,,620,9,94.717,564,4.482.390,1.030.182,4.351.068 ,Asia,11,1.772,1,,,142
74,67,Ireland,405.970,+1.456,5.280 ,,361.379,+1.346,39.311,73,81.062,1.054,7.686.398,1.534.786,5.008.123 ,Europe,12,949,1,291,,7.849
75,68,Uruguay,390.115,,6.064 ,,382.736,,1.315,11,111.810,1.738,3.659.251,1.048.767,3.489.097 ,South America,9,575,1,,,377
76,69,Venezuela,384.668,,4.634 ,,364.455,,15.579,681,13.577,164,3.359.014,118.555,28.333.033 ,South America,74,6.114,8,,,550
77,70,Honduras,370.262,+516,10.010 ,+22,112.295,+365,247.957,350,36.640,991,1.060.480,104.942,10.105.351 ,North America,27,1.010,10,51,2,24.537
78,71,Dominican Republic,366.711,+520,4.072 ,+5,355.023,+691,7.616,207,33.378,371,2.115.185,192.523,10.986.655 ,North America,30,2.698,5,47,0.5,693
79,72,Denmark,365.051,+587,2.674 ,+3,355.181,+485,7.196,17,62.743,460,84.399.258,14.505.982,5.818.238 ,Europe,16,2.176,0,101,0.5,1.237
80,73,Lithuania,355.061,+1.238,5.282 ,+14,320.066,+3.212,29.713,229,132.796,1.976,5.187.322,1.940.106,2.673.731 ,Europe,8,506,1,463,5,11.113
81,74,Ethiopia,355.001,,6.026 ,,324.450,,24.525,735,2.994,51,3.557.710,30.001,118.587.254 ,Africa,334,19.679,33,,,207
82,75,Libya,347.364,+551,4.808 ,+16,272.917,+1.467,69.639,,49.692,688,1.719.728,246.013,6.990.403 ,Africa,20,1.454,4,79,2,9.962
83,76,S. Korea,334.163,+1.347,2.594 ,+11,299.260,+1.238,32.309,364,6.511,51,15.007.584,292.400,51.325.521 ,Asia,154,19.786,3,26,0.2,629
84,77,Mongolia,328.304,+1.566,1.465 ,+15,300.074,,26.765,192,98.131,438,4.022.930,1.202.467,3.345.563 ,Asia,10,2.284,1,468,4,8.000
85,78,Egypt,313.259,,17.726 ,,264.345,,31.188,90,2.989,169,3.693.367,35.244,104.792.860 ,Africa,335,5.912,28,,,298
86,79,Moldova,307.182,,7.048 ,,288.915,,11.219,162,76.376,1.752,1.863.784,463.399,4.021.989 ,Europe,13,571,2,,,2.789
87,80,Oman,303.999,+21,4.103 ,+1,299.334,+25,562,6,57.664,778,25.000.000,4.742.147,5.271.874 ,Asia,17,1.285,0,4,0.2,107
88,81,Slovenia,302.654,+1.005,4.618 ,+1,286.382,+1.037,11.654,78,145.556,2.221,1.626.242,782.109,2.079.303 ,Europe,7,450,1,483,0.5,5.605
89,82,Bahrain,275.734,,1.390 ,,273.748,,596,4,155.193,782,6.612.314,3.721.649,1.776.716 ,Asia,6,1.278,0,,,335
90,83,Armenia,273.860,+903,5.618 ,+43,250.055,+897,18.187,,92.199,1.891,1.818.603,612.260,2.970.314 ,Asia,11,529,2,304,14,6.123
91,84,Kenya,251.248,,5.190 ,,244.237,,1.821,46,4.545,94,2.609.854,47.212,55.279.170 ,Africa,220,10.651,21,,,33
92,85,Bosnia and Herzegovina,241.946,+719,11.009 ,+44,192.218,,38.719,,74.336,3.382,1.256.450,386.036,3.254.747 ,Europe,13,296,3,221,14,11.896
93,86,Qatar,237.579,+96,607 ,,236.006,+81,966,10,84.614,216,2.729.471,972.101,2.807.805 ,Asia,12,4.626,1,34,,344
94,87,Zambia,209.353,,3.654 ,,205.508,,191,22,10.996,192,2.509.600,131.815,19.038.767 ,Africa,91,5.210,8,,,10
95,88,Nigeria,207.978,,2.756 ,,195.626,,9.596,11,978,13,3.090.114,14.532,212.641.050 ,Africa,1.022,77.156,69,,,45
96,89,Algeria,204.695,,5.855 ,,140.319,,58.521,14,4.563,131,230.861,5.146,44.859.760 ,Africa,219,7.662,194,,,1.305
97,90,North Macedonia,195.132,+130,6.855 ,+6,181.619,+423,6.658,,93.666,3.291,1.326.737,636.855,2.083.265 ,Europe,11,304,2,62,3,3.196
98,91,Norway,194.275,+235,871 ,,88.952,,104.452,13,35.482,159,7.969.322,1.455.498,5.475.323 ,Europe,28,6.286,1,43,,19.077
99,92,Botswana,181.251,,2.381 ,,177.526,,1.344,1,75.143,987,1.777.500,736.912,2.412.093 ,Africa,13,1.013,1,,,557
100,93,Kyrgyzstan,179.429,+91,2.622 ,+2,174.198,+112,2.609,131,26.936,394,1.742.574,261.595,6.661.349 ,Asia,37,2.541,4,14,0.3,392
101,94,Uzbekistan,178.986,+349,1.273 ,+2,174.642,+429,3.071,23,5.251,37,1.377.915,40.423,34.087.461 ,Asia,190,26.777,25,10,0.06,90
102,95,Albania,175.163,,2.777 ,,165.434,,6.952,3,60.952,966,1.240.204,431.558,2.873.784 ,Europe,16,1.035,2,,,2.419
103,96,Latvia,173.654,+1.376,2.819 ,+13,152.387,+285,18.448,99,93.385,1.516,4.575.239,2.460.408,1.859.545 ,Europe,11,660,0,740,7,9.921
104,97,Estonia,166.601,+1.260,1.402 ,+2,149.773,+218,15.426,32,125.483,1.056,1.990.052,1.498.901,1.327.674 ,Europe,8,947,1,949,2,11.619
105,98,Afghanistan,155.599,+59,7.230 ,+2,126.615,+156,21.754,1.124,3.886,181,765.477,19.116,40.044.373 ,Asia,257,5.539,52,1,0.05,543
106,99,Mozambique,150.991,,1.924 ,,147.955,,1.112,32,4.665,59,918.384,28.372,32.369.139 ,Africa,214,16.824,35,,,34
107,100,Finland,147.919,+622,1.100 ,,46.000,,100.819,29,26.644,198,7.225.211,1.301.439,5.551.709 ,Europe,38,5.047,1,112,,18.160
108,101,Montenegro,135.981,+448,2.000 ,+8,128.736,+517,5.245,,216.473,3.184,767.558,1.221.901,628.167 ,Europe,5,314,1,713,13,8.350
109,102,Zimbabwe,131.875,,4.643 ,,125.479,,1.753,12,8.711,307,1.439.811,95.108,15.138.697 ,Africa,115,3.261,11,,,116
110,103,Australia,131.415,+1.848,1.461 ,+13,96.234,,33.720,296,5.078,56,40.111.465,1.550.072,25.877.157 ,Australia/Oceania,197,17.712,1,71,0.5,1.303
111,104,Singapore,129.229,,172 ,,102.746,,26.311,42,21.870,29,20.436.387,3.458.494,5.909.042 ,Asia,46,34.355,0,,,4.453
112,105,Ghana,128.368,,1.158 ,,124.514,,2.696,42,4.024,36,1.781.277,55.841,31.898.831 ,Africa,248,27.546,18,,,85
113,106,Namibia,128.129,,3.527 ,,123.567,,1.035,10,49.289,1.357,721.198,277.435,2.599.523 ,Africa,20,737,4,,,398
114,107,Uganda,124.808,+72,3.179 ,+2,96.299,+10,25.330,239,2.623,67,1.731.848,36.401,47.577.154 ,Africa,381,14.966,27,2,0.04,532
115,108,Cyprus,119.812,,560 ,,90.755,,28.497,22,98.322,460,9.420.908,7.731.099,1.218.573 ,Asia,10,2.176,0,,,23.386
116,109,Cambodia,115.335,+267,2.544 ,+17,108.802,+399,3.989,,6.779,150,2.515.858,147.871,17.013.914 ,Asia,148,6.688,7,16,1.0,234
117,110,El Salvador,107.664,,3.405 ,+13,89.968,,14.291,339,16.493,522,1.309.644,200.620,6.527.973 ,North America,61,1.917,5,,2,2.189
118,111,Rwanda,98.745,,1.308 ,,45.499,,51.938,4,7.391,98,2.946.155,220.508,13.360.779 ,Africa,135,10.215,5,,,3.887
119,112,Cameroon,95.399,,1.517 ,,80.433,,13.449,152,3.483,55,1.751.774,63.964,27.386.702 ,Africa,287,18.053,16,,,491
120,113,Jamaica,86.384,,2.025 ,,54.424,,29.935,30,29.011,680,617.665,207.433,2.977.663 ,North America,34,1.470,5,,,10.053
121,114,Maldives,85.732,+110,235 ,+1,84.292,+122,1.205,23,155.122,425,1.535.757,2.778.781,552.673 ,Asia,6,2.352,0,199,2,2.180
122,115,Luxembourg,79.196,,837 ,,77.159,,1.200,3,123.946,1.310,3.544.032,5.546.607,638.955 ,Europe,8,763,0,,,1.878
123,116,Senegal,73.842,+1,1.868 ,,71.945,+8,29,5,4.267,108,816.153,47.162,17.305.261 ,Africa,234,9.264,21,0.06,,2
124,117,Malawi,61.679,,2.290 ,,56.482,,2.907,67,3.122,116,415.561,21.032,19.758.872 ,Africa,320,8.628,48,,,147
125,118,Angola,61.580,,1.629 ,,49.977,,9.974,28,1.802,48,1.043.451,30.541,34.165.887 ,Africa,555,20.974,33,,,292
126,119,Ivory Coast,60.829,,669 ,,58.967,,1.193,,2.236,25,1.044.828,38.399,27.209.478 ,Africa,447,40.672,26,,,44
127,120,DRC,57.247,,1.087 ,,50.930,,5.230,,615,12,306.299,3.293,93.023.044 ,Africa,1.625,85.578,304,,,56
128,121,Réunion,53.963,,369 ,,53.256,,338,33,59.729,408,1.279.618,1.416.346,903.464 ,Africa,17,2.448,1,,,374
129,122,Guadeloupe,53.734,,721 ,,2.250,,50.763,23,134.264,1.802,467.423,1.167.941,400.211 ,North America,7,555,1,,,126.841
130,123,Trinidad and Tobago,52.847,,1.555 ,,46.991,,4.301,22,37.606,1.107,369.782,263.139,1.405.273 ,North America,27,904,4,,,3.061
131,124,Fiji,51.535,,653 ,,47.912,,2.970,6,56.962,722,422.600,467.099,904.733 ,Australia/Oceania,18,1.386,2,,,3.283
132,125,Eswatini,46.284,,1.229 ,,44.658,,397,10,39.374,1.046,357.799,304.384,1.175.484 ,Africa,25,956,3,,,338
133,126,Suriname,44.306,,968 ,,27.005,,16.333,20,74.673,1.631,135.457,228.297,593.337 ,South America,13,613,4,,,27.527
134,127,Madagascar,42.898,,958 ,,41.322,,618,3,1.500,34,249.510,8.725,28.596.747 ,Africa,667,29.850,115,,,22
135,128,French Guiana,42.794,,289 ,,9.995,,32.510,26,138.702,937,410.123,1.329.272,308.532 ,South America,7,1.068,1,,,105.370
136,129,Martinique,41.129,,608 ,,104,,40.417,1,109.709,1.622,359.082,957.825,374.893 ,North America,9,617,1,,,107.809
137,130,French Polynesia,40.178,,629 ,,33.500,,6.049,18,141.982,2.223,26.355,93.134,282.980 ,Australia/Oceania,7,450,11,,,21.376
138,131,Sudan,38.824,,2.928 ,,32.395,,3.501,,860,65,238.579,5.284,45.152.366 ,Africa,1.163,15.421,189,,,78
139,132,Cabo Verde,37.902,,346 ,,37.102,,454,23,67.239,614,209.870,372.316,563.688 ,Africa,15,1.629,3,,,805
140,133,Malta,37.375,+17,459 ,,36.240,+7,676,1,84.360,1.036,1.211.456,2.734.392,443.044 ,Europe,12,965,0,38,,1.526
141,134,Syria,37.229,,2.348 ,,24.573,,10.308,,2.063,130,103.566,5.740,18.041.683 ,Asia,485,7.684,174,,,571
142,135,Mauritania,36.432,,785 ,,35.225,,422,22,7.582,163,477.650,99.404,4.805.141 ,Africa,132,6.121,10,,,88
143,136,Guyana,33.748,,842 ,,29.004,,3.902,29,42.644,1.064,333.152,420.968,791.396 ,South America,23,940,2,,,4.931
144,137,Gabon,32.576,,205 ,,27.466,,4.905,21,14.209,89,1.253.654,546.832,2.292.577 ,Africa,70,11.183,2,,,2.140
145,138,Guinea,30.523,,383 ,,29.126,,1.014,24,2.247,28,560.520,41.257,13.585.914 ,Africa,445,35.472,24,,,75
146,139,Laos,29.398,+549,33 ,+3,6.558,,22.807,,3.967,4,533.030,71.933,7.410.126 ,Asia,252,224.549,14,74,0.4,3.078
147,140,Tanzania,25.957,,723 ,,N/A,N/A,N/A,7,419,12,,,61.897.988 ,Africa,2.385,85.613,,,,405
148,141,Togo,25.788,,236 ,,24.516,,1.036,,3.025,28,527.256,61.843,8.525.682 ,Africa,331,36.126,16,,,122
149,142,Benin,24.335,,159 ,,23.257,,919,5,1.943,13,604.310,48.240,12.527.176 ,Africa,515,78.787,21,,,73
150,143,Papua New Guinea,23.026,,245 ,,19.137,,3.644,7,2.513,27,197.329,21.536,9.162.894 ,Australia/Oceania,398,37.400,46,,,398
151,144,Haiti,22.614,,643 ,,19.931,,2.040,,1.953,56,120.507,10.407,11.579.762 ,North America,512,18.009,96,,,176
152,145,Belize,22.187,,427 ,,19.182,,2.578,10,54.537,1.050,273.692,672.754,406.823 ,North America,18,953,1,,,6.337
153,146,Seychelles,21.638,,118 ,,21.242,,278,,218.292,1.190,21.504,216.940,99.124 ,Africa,5,840,5,,,2.805
154,147,Bahamas,21.580,,590 ,,19.683,,1.307,15,54.216,1.482,149.289,375.063,398.037 ,North America,18,675,3,,,3.284
155,148,Lesotho,21.460,,652 ,,11.885,,8.923,,9.917,301,222.670,102.901,2.163.915 ,Africa,101,3.319,10,,,4.124
156,149,Somalia,21.269,,1.180 ,,9.927,,10.162,,1.292,72,239.292,14.540,16.457.172 ,Africa,774,13.947,69,,,617
157,150,Mayotte,20.397,,180 ,,2.964,,17.253,,72.538,640,176.919,629.175,281.192 ,Africa,14,1.562,2,,,61.357
158,151,Timor-Leste,19.681,+6,119 ,,19.400,+52,162,,14.574,88,169.501,125.516,1.350.429 ,Asia,69,11.348,8,4,,120
159,152,Burundi,19.257,,38 ,,773,,18.446,,1.560,3,345.742,28.016,12.341.062 ,Africa,641,324.765,36,,,1.495
160,153,Tajikistan,17.084,,124 ,,16.960,,0,,1.741,13,,,9.810.347 ,Asia,574,79.116,,,,
161,154,Curaçao,16.804,,168 ,,16.331,,305,4,101.873,1.018,292.262,1.771.822,164.950 ,North America,10,982,1,,,1.849
162,155,Taiwan,16.309,+4,846 ,,15.313,+7,150,,683,35,6.783.662,284.170,23.871.809 ,Asia,1.464,28.217,4,0.2,,6
163,156,Mauritius,16.291,,110 ,,1.854,,14.327,,12.783,86,358.675,281.432,1.274.462 ,Africa,78,11.586,4,,,11.242
164,157,Aruba,15.645,,170 ,,15.324,,151,7,145.745,1.584,177.885,1.657.134,107.345 ,North America,7,631,1,,,1.407
165,158,Mali,15.490,,553 ,,14.382,,555,,738,26,432.310,20.593,20.992.576 ,Africa,1.355,37.961,49,,,26
166,159,Andorra,15.307,,130 ,,15.098,,79,4,197.706,1.679,193.595,2.500.484,77.423 ,Europe,5,596,0,,,1.020
167,160,Nicaragua,15.134,,205 ,,4.225,,10.704,,2.250,30,,,6.725.051 ,North America,444,32.805,,,,1.592
168,161,Congo,14.833,,206 ,,12.421,,2.206,,2.606,36,188.207,33.071,5.690.925 ,Africa,384,27.626,30,,,388
169,162,Burkina Faso,14.516,,195 ,,14.028,,293,,671,9,219.552,10.149,21.632.339 ,Africa,1.490,110.935,99,,,14
170,163,Djibouti,13.269,,177 ,,12.849,,243,,13.186,176,227.614,226.186,1.006.313 ,Africa,76,5.685,4,,,241
171,164,Equatorial Guinea,12.786,,155 ,,12.032,,599,1,8.748,106,195.087,133.479,1.461.561 ,Africa,114,9.429,7,,,410
172,165,Iceland,12.287,+44,33 ,,11.806,+44,448,,35.711,96,1.090.596,3.169.701,344.069 ,Europe,28,10.426,0,128,,1.302
173,166,Hong Kong,12.273,+4,213 ,,11.956,+3,104,,1.620,28,25.906.063,3.420.134,7.574.576 ,Asia,617,35.561,0,0.5,,14
174,167,South Sudan,12.134,,130 ,,11.617,,387,2,1.068,11,238.490,20.992,11.361.067 ,Africa,936,87.393,48,,,34
175,168,Saint Lucia,12.017,,224 ,,10.953,,840,11,65.063,1.213,82.160,444.834,184.698 ,North America,15,825,2,,,4.548
176,169,Channel Islands,11.968,,98 ,,11.544,,326,,68.036,557,947.210,5.384.720,175.907 ,Europe,15,1.795,0,,,1.853
177,170,CAR,11.401,,100 ,,6.859,,4.442,2,2.309,20,60.228,12.200,4.936.751 ,Africa,433,49.368,82,,,900
178,171,Barbados,11.132,,98 ,,8.935,,2.099,,38.676,340,342.465,1.189.842,287.824 ,North America,26,2.937,1,,,7.293
179,172,Gambia,9.941,,339 ,,9.594,,8,3,3.972,135,103.187,41.225,2.503.016 ,Africa,252,7.384,24,,,3
180,173,Brunei ,9.472,+305,64 ,,7.097,+217,2.311,26,21.390,145,413.169,933.036,442.822 ,Asia,47,6.919,1,689,,5.219
181,174,Yemen,9.412,+10,1.787 ,+5,5.948,+18,1.677,23,307,58,265.253,8.651,30.662.242 ,Asia,3.258,17.159,116,0.3,0.2,55
182,175,New Caledonia,9.186,,201 ,,55,,8.930,52,31.786,696,42.756,147.945,288.999 ,Australia/Oceania,31,1.438,7,,,30.900
183,176,Isle of Man,8.121,,54 ,,7.591,,476,1,94.864,631,125.320,1.463.899,85.607 ,Europe,11,1.585,1,,,5.560
